"","country","key","value"
"75.p4","North Macedonia","p4",5.2
"75.p5","North Macedonia","p5",2.2
"75.p6","North Macedonia","p6",0.17
"76.p1","Norway","p1",5.97
"76.p2","Norway","p2",1.37
"76.p3","Norway","p3",0.2
"76.p4","Norway","p4",4.1
"76.p5","Norway","p5",2.53
"76.p6","Norway","p6",0.07
"77.p1","Oman","p1",0.67
"77.p2","Oman","p2",0.4
"77.p3","Oman","p3",0.07
"77.p4","Oman","p4",0.53
"77.p5","Oman","p5",0.13
"77.p6","Oman","p6",0
"78.p1","Pakistan","p1",3.13
"78.p2","Pakistan","p2",1.17
"78.p3","Pakistan","p3",0.2
"78.p4","Pakistan","p4",1.63
"78.p5","Pakistan","p5",0.4
"78.p6","Pakistan","p6",0
"79.p1","Palestine","p1",7
"79.p2","Palestine","p2",1
"79.p3","Palestine","p3",0
"79.p4","Palestine","p4",0
"79.p5","Palestine","p5",6
"79.p6","Palestine","p6",0
"80.p1","Panama","p1",4.67
"80.p2","Panama","p2",0.22
"80.p3","Panama","p3",0.23
"80.p4","Panama","p4",4.27
"80.p5","Panama","p5",0.25
"80.p6","Panama","p6",0
"81.p1","Paraguay","p1",3.82
"81.p2","Paraguay","p2",0.32
"81.p3","Paraguay","p3",0
"81.p4","Paraguay","p4",2.45
"81.p5","Paraguay","p5",0.5
"81.p6","Paraguay","p6",0
"82.p1","Peru","p1",6.67
"82.p2","Peru","p2",3.93
"82.p3","Peru","p3",1.03
"82.p4","Peru","p4",6.27
"82.p5","Peru","p5",3.47
"82.p6","Peru","p6",0.57
"83.p1","Philippines","p1",6.83
"83.p2","Philippines","p2",2.93
"83.p3","Philippines","p3",0.47
"83.p4","Philippines","p4",6.27
"83.p5","Philippines","p5",3.13
"83.p6","Philippines","p6",0.03
"84.p1","Poland","p1",6.73
"84.p2","Poland","p2",3.73
"84.p3","Poland","p3",1.17
"84.p4","Poland","p4",6.8
"84.p5","Poland","p5",6.1
"84.p6","Poland","p6",0.93
"85.p1","Portugal","p1",6.03
"85.p2","Portugal","p2",2.43
"85.p3","Portugal","p3",0.17
"85.p4","Portugal","p4",3.77
"85.p5","Portugal","p5",2.6
"85.p6","Portugal","p6",0.1
"86.p1","Puerto Rico","p1",3.42
"86.p2","Puerto Rico","p2",0.3
"86.p3","Puerto Rico","p3",0
"86.p4","Puerto Rico","p4",1.78
"86.p5","Puerto Rico","p5",0.4
"86.p6","Puerto Rico","p6",0
"87.p1","Romania","p1",6.83
"87.p2","Romania","p2",5.07
"87.p3","Romania","p3",2.57
"87.p4","Romania","p4",6.5
"87.p5","Romania","p5",4.53
"87.p6","Romania","p6",1.3
"88.p1","Russia","p1",6.83
"88.p2","Russia","p2",4
"88.p3","Russia","p3",4.08
"88.p4","Russia","p4",7
"88.p5","Russia","p5",5.92
"88.p6","Russia","p6",2.83
"89.p1","Rwanda","p1",2.54
"89.p2","Rwanda","p2",0.29
"89.p3","Rwanda","p3",0.04
"89.p4","Rwanda","p4",1.62
"89.p5","Rwanda","p5",0.12
"89.p6","Rwanda","p6",0
"90.p1","Saudi Arabia","p1",6.23
"90.p2","Saudi Arabia","p2",3.23
"90.p3","Saudi Arabia","p3",0.7
"90.p4","Saudi Arabia","p4",6.2
"90.p5","Saudi Arabia","p5",2.9
"90.p6","Saudi Arabia","p6",0.1
"91.p1","Serbia","p1",4.97
"91.p2","Serbia","p2",2.32
"91.p3","Serbia","p3",0.65
"91.p4","Serbia","p4",3.88
"91.p5","Serbia","p5",2.15
"91.p6","Serbia","p6",0.18
"92.p1","Singapore","p1",6.93
"92.p2","Singapore","p2",5.23
"92.p3","Singapore","p3",1.23
"92.p4","Singapore","p4",6.6
"92.p5","Singapore","p5",4.93
"92.p6","Singapore","p6",0.8
"93.p1","Slovakia","p1",6.6
"93.p2","Slovakia","p2",2.9
"93.p3","Slovakia","p3",0.6
"93.p4","Slovakia","p4",5.37
"93.p5","Slovakia","p5",3.43
"93.p6","Slovakia","p6",0.4
"94.p1","Slovenia","p1",5.53
"94.p2","Slovenia","p2",1.63
"94.p3","Slovenia","p3",0.33
"94.p4","Slovenia","p4",4.9
"94.p5","Slovenia","p5",1.7
"94.p6","Slovenia","p6",0.1
"95.p1","South Africa","p1",5.77
"95.p2","South Africa","p2",1.4
"95.p3","South Africa","p3",0.03
"95.p4","South Africa","p4",4.8
"95.p5","South Africa","p5",2
"95.p6","South Africa","p6",0.07
"96.p1","South Korea","p1",6.93
"96.p2","South Korea","p2",5.33
"96.p3","South Korea","p3",3.93
"96.p4","South Korea","p4",6.87
"96.p5","South Korea","p5",5.07
"96.p6","South Korea","p6",3.13
"97.p1","Spain","p1",6.37
"97.p2","Spain","p2",3.23
"97.p3","Spain","p3",0.2
"97.p4","Spain","p4",3.97
"97.p5","Spain","p5",3.8
"97.p6","Spain","p6",0.2
"98.p1","Sri Lanka","p1",5.63
"98.p2","Sri Lanka","p2",0.95
"98.p3","Sri Lanka","p3",0.1
"98.p4","Sri Lanka","p4",3.4
"98.p5","Sri Lanka","p5",1.43
"98.p6","Sri Lanka","p6",0
"99.p1","Sweden","p1",5.6
"99.p2","Sweden","p2",2.33
"99.p3","Sweden","p3",0.4
"99.p4","Sweden","p4",4.67
"99.p5","Sweden","p5",2.63
"99.p6","Sweden","p6",0.27
"100.p1","Switzerland","p1",6.03
"100.p2","Switzerland","p2",2.83
"100.p3","Switzerland","p3",0.73
"100.p4","Switzerland","p4",5.5
"100.p5","Switzerland","p5",2.53
"100.p6","Switzerland","p6",0.1
"101.p1","Syria","p1",5.87
"101.p2","Syria","p2",1.57
"101.p3","Syria","p3",0.17
"101.p4","Syria","p4",3.97
"101.p5","Syria","p5",1.33
"101.p6","Syria","p6",0
"102.p1","Taiwan","p1",6.97
"102.p2","Taiwan","p2",4.67
"102.p3","Taiwan","p3",1.53
"102.p4","Taiwan","p4",6.93
"102.p5","Taiwan","p5",4.87
"102.p6","Taiwan","p6",0.9
"103.p1","Tajikistan","p1",4.93
"103.p2","Tajikistan","p2",1.43
"103.p3","Tajikistan","p3",0.1
"103.p4","Tajikistan","p4",4.37
"103.p5","Tajikistan","p5",1.2
"103.p6","Tajikistan","p6",0.07
"104.p1","Tanzania","p1",0.25
"104.p2","Tanzania","p2",0.88
"104.p3","Tanzania","p3",0.25
"104.p4","Tanzania","p4",0.38
"104.p5","Tanzania","p5",0
"104.p6","Tanzania","p6",0
"105.p1","Thailand","p1",6.87
"105.p2","Thailand","p2",4.77
"105.p3","Thailand","p3",2.13
"105.p4","Thailand","p4",6.6
"105.p5","Thailand","p5",4.5
"105.p6","Thailand","p6",0.53
"106.p1","Trinidad and Tobago","p1",2.24
"106.p2","Trinidad and Tobago","p2",0.07
"106.p3","Trinidad and Tobago","p3",0.11
"106.p4","Trinidad and Tobago","p4",1.07
"106.p5","Trinidad and Tobago","p5",0.53
"106.p6","Trinidad and Tobago","p6",0
"107.p1","Tunisia","p1",4.5
"107.p2","Tunisia","p2",1.53
"107.p3","Tunisia","p3",0.1
"107.p4","Tunisia","p4",3.97
"107.p5","Tunisia","p5",1
"107.p6","Tunisia","p6",0
"108.p1","Turkey","p1",6.87
"108.p2","Turkey","p2",4.27
"108.p3","Turkey","p3",1.7
"108.p4","Turkey","p4",7
"108.p5","Turkey","p5",3.47
"108.p6","Turkey","p6",0.9
"109.p1","Turkmenistan","p1",4.96
"109.p2","Turkmenistan","p2",1.75
"109.p3","Turkmenistan","p3",0.12
"109.p4","Turkmenistan","p4",3.96
"109.p5","Turkmenistan","p5",0.67
"109.p6","Turkmenistan","p6",0.04
"110.p1","Uganda","p1",1.41
"110.p2","Uganda","p2",0.11
"110.p3","Uganda","p3",0.03
"110.p4","Uganda","p4",0.98
"110.p5","Uganda","p5",0.07
"110.p6","Uganda","p6",0
"111.p1","Ukraine","p1",6.83
"111.p2","Ukraine","p2",4.5
"111.p3","Ukraine","p3",0.9
"111.p4","Ukraine","p4",6.57
"111.p5","Ukraine","p5",4.77
"111.p6","Ukraine","p6",0.9
"112.p1","United Arab Emirates","p1",1.03
"112.p2","United Arab Emirates","p2",0.44
"112.p3","United Arab Emirates","p3",0
"112.p4","United Arab Emirates","p4",0.89
"112.p5","United Arab Emirates","p5",0.28
"112.p6","United Arab Emirates","p6",0
"113.p1","United Kingdom","p1",7
"113.p2","United Kingdom","p2",4.57
"113.p3","United Kingdom","p3",1.7
"113.p4","United Kingdom","p4",6.67
"113.p5","United Kingdom","p5",5.9
"113.p6","United Kingdom","p6",1.03
"114.p1","United States of America","p1",6.93
"114.p2","United States of America","p2",5.43
"114.p3","United States of America","p3",3.63
"114.p4","United States of America","p4",6.93
"114.p5","United States of America","p5",6.27
"114.p6","United States of America","p6",3.1
"115.p1","Uruguay","p1",5.22
"115.p2","Uruguay","p2",0.5
"115.p3","Uruguay","p3",0.1
"115.p4","Uruguay","p4",2.6
"115.p5","Uruguay","p5",0.4
"115.p6","Uruguay","p6",0
"116.p1","Uzbekistan","p1",5.43
"116.p2","Uzbekistan","p2",2.37
"116.p3","Uzbekistan","p3",0.1
"116.p4","Uzbekistan","p4",4.6
"116.p5","Uzbekistan","p5",2.53
"116.p6","Uzbekistan","p6",0
"117.p1","Venezuela","p1",3.25
"117.p2","Venezuela","p2",0.15
"117.p3","Venezuela","p3",0.05
"117.p4","Venezuela","p4",1.4
"117.p5","Venezuela","p5",0.37
"117.p6","Venezuela","p6",0
"118.p1","Vietnam","p1",6.73
"118.p2","Vietnam","p2",4.7
"118.p3","Vietnam","p3",2.67
"118.p4","Vietnam","p4",6.67
"118.p5","Vietnam","p5",4
"118.p6","Vietnam","p6",0.87
