"","country","key","value"
"123.p4","United Arab Emirates","p4",0.44
"123.p5","United Arab Emirates","p5",0.12
"123.p6","United Arab Emirates","p6",0
"124.p1","United Kingdom","p1",6.29
"124.p2","United Kingdom","p2",3.89
"124.p3","United Kingdom","p3",1.09
"124.p4","United Kingdom","p4",6.4
"124.p5","United Kingdom","p5",4.07
"124.p6","United Kingdom","p6",0.97
"125.p1","United States of America","p1",6.76
"125.p2","United States of America","p2",5.93
"125.p3","United States of America","p3",3.41
"125.p4","United States of America","p4",6.75
"125.p5","United States of America","p5",5.66
"125.p6","United States of America","p6",3.03
"126.p1","Uruguay","p1",3.32
"126.p2","Uruguay","p2",0.59
"126.p3","Uruguay","p3",0.07
"126.p4","Uruguay","p4",1.86
"126.p5","Uruguay","p5",0.42
"126.p6","Uruguay","p6",0.03
"127.p1","Uzbekistan","p1",4.11
"127.p2","Uzbekistan","p2",2.95
